age,job,marital,education,default,balance,housing,duration,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
59,admin.,married,secondary,no,2343,yes,1042,no,unknown,5,may,1,-1,0,unknown,yes
56,admin.,married,secondary,no,45,no,1467,no,unknown,5,may,1,-1,0,unknown,yes
41,technician,married,secondary,no,1270,yes,1389,no,unknown,5,may,1,-1,0,unknown,yes
55,services,married,secondary,no,2476,yes,579,no,unknown,5,may,1,-1,0,unknown,yes
54,admin.,married,tertiary,no,184,no,673,no,unknown,5,may,2,-1,0,unknown,yes
42,management,single,tertiary,no,0,yes,562,yes,unknown,5,may,2,-1,0,unknown,yes
56,management,married,tertiary,no,830,yes,1201,yes,unknown,6,may,1,-1,0,unknown,yes
60,retired,divorced,secondary,no,545,yes,1030,no,unknown,6,may,1,-1,0,unknown,yes
37,technician,married,secondary,no,1,yes,608,no,unknown,6,may,1,-1,0,unknown,yes
28,services,single,secondary,no,5090,yes,1297,no,unknown,6,may,3,-1,0,unknown,yes
38,admin.,single,secondary,no,100,yes,786,no,unknown,7,may,1,-1,0,unknown,yes
30,blue-collar,married,secondary,no,309,yes,1574,no,unknown,7,may,2,-1,0,unknown,yes
29,management,married,tertiary,no,199,yes,1689,yes,unknown,7,may,4,-1,0,unknown,yes
46,blue-collar,single,tertiary,no,460,yes,1102,no,unknown,7,may,2,-1,0,unknown,yes
31,technician,single,tertiary,no,703,yes,943,no,unknown,8,may,2,-1,0,unknown,yes
35,management,divorced,tertiary,no,3837,yes,1084,no,unknown,8,may,1,-1,0,unknown,yes
32,blue-collar,single,primary,no,611,yes,541,no,unknown,8,may,3,-1,0,unknown,yes
49,services,married,secondary,no,-8,yes,1119,no,unknown,8,may,1,-1,0,unknown,yes
41,admin.,married,secondary,no,55,yes,1120,no,unknown,8,may,2,-1,0,unknown,yes
49,admin.,divorced,secondary,no,168,yes,513,yes,unknown,8,may,1,-1,0,unknown,yes
28,admin.,divorced,secondary,no,785,yes,442,no,unknown,8,may,2,-1,0,unknown,yes
43,management,single,tertiary,no,2067,yes,756,no,unknown,8,may,1,-1,0,unknown,yes
43,management,divorced,tertiary,no,388,yes,2087,no,unknown,8,may,2,-1,0,unknown,yes
43,blue-collar,married,primary,no,-192,yes,1120,no,unknown,8,may,2,-1,0,unknown,yes
37,unemployed,single,secondary,no,381,yes,985,no,unknown,8,may,2,-1,0,unknown,yes
35,blue-collar,single,secondary,no,40,yes,617,no,unknown,9,may,4,-1,0,unknown,yes
31,technician,single,tertiary,no,22,yes,483,no,unknown,9,may,3,-1,0,unknown,yes
43,blue-collar,single,secondary,no,3,yes,929,no,unknown,9,may,3,-1,0,unknown,yes
31,admin.,married,secondary,no,307,yes,538,no,unknown,9,may,1,-1,0,unknown,yes
28,blue-collar,single,secondary,no,759,yes,710,no,unknown,9,may,1,-1,0,unknown,yes
32,blue-collar,married,secondary,yes,-1,yes,653,no,unknown,9,may,1,-1,0,unknown,yes
60,technician,married,primary,no,65,yes,1028,no,unknown,9,may,2,-1,0,unknown,yes
26,blue-collar,single,secondary,no,82,yes,654,no,unknown,9,may,1,-1,0,unknown,yes
40,blue-collar,married,secondary,no,10,yes,1692,no,unknown,9,may,2,-1,0,unknown,yes
33,blue-collar,divorced,primary,no,390,yes,665,no,unknown,9,may,2,-1,0,unknown,yes
32,management,single,tertiary,no,311,no,757,no,unknown,12,may,2,-1,0,unknown,yes
35,blue-collar,married,primary,no,414,no,504,no,unknown,13,may,4,-1,0,unknown,yes
